Year,Month,CO2
1983,5,345.96
1983,6,345.52
1983,7,344.15
1983,8,342.25
1983,9,340.17
1983,10,340.3
1983,11,341.53
1983,12,343.07
1984,1,344.05
1984,2,344.77
1984,3,345.46
1984,4,346.77
1984,5,347.55
1984,6,346.98
1984,7,345.55
1984,8,343.2
1984,9,341.35
1984,10,341.68
1984,11,343.06
1984,12,344.54
1985,1,345.25
1985,2,346.06
1985,3,347.66
1985,4,348.2
1985,5,348.92
1985,6,348.4
1985,7,346.66
1985,8,344.85
1985,9,343.2
1985,10,343.08
1985,11,344.4
1985,12,345.82
1986,1,346.54
1986,2,347.13
1986,3,348.05
1986,4,349.77
1986,5,350.53
1986,6,349.9
1986,7,348.11
1986,8,346.09
1986,9,345.01
1986,10,344.47
1986,11,345.86
1986,12,347.15
1987,1,348.38
1987,2,348.7
1987,3,349.72
1987,4,351.32
1987,5,352.14
1987,6,351.61
1987,7,349.91
1987,8,347.84
1987,9,346.52
1987,10,346.65
1987,11,347.96
1987,12,349.18
1988,1,350.38
1988,2,351.68
1988,3,352.24
1988,4,353.66
1988,5,354.18
1988,6,353.68
1988,7,352.58
1988,8,350.66
1988,9,349.03
1988,10,349.08
1988,11,350.15
1988,12,351.44
1989,1,352.89
1989,2,353.24
1989,3,353.8
1989,4,355.59
1989,5,355.89
1989,6,355.3
1989,7,353.98
1989,8,351.53
1989,9,350.02
1989,10,350.29
1989,11,351.44
1989,12,352.84
1990,1,353.79
1990,2,354.88
1990,3,355.65
1990,4,356.28
1990,5,357.29
1990,6,356.32
1990,7,354.89
1990,8,352.89
1990,9,351.28
1990,10,351.59
1990,11,353.05
1990,12,354.27
1991,1,354.87
1991,2,355.68
1991,3,357.06
1991,4,358.51
1991,5,359.09
1991,6,358.1
1991,7,356.12
1991,8,353.89
1991,9,352.3
1991,10,352.32
1991,11,353.79
1991,12,355.07
1992,1,356.17
1992,2,356.93
1992,3,357.82
1992,4,359
1992,5,359.55
1992,6,359.32
1992,7,356.85
1992,8,354.91
1992,9,352.93
1992,10,353.31
1992,11,354.27
1992,12,355.53
1993,1,356.86
1993,2,357.27
1993,3,358.36
1993,4,359.27
1993,5,360.19
1993,6,359.52
1993,7,357.42
1993,8,355.46
1993,9,354.1
1993,10,354.12
1993,11,355.4
1993,12,356.84
1994,1,358.22
1994,2,358.98
1994,3,359.91
1994,4,361.32
1994,5,361.68
1994,6,360.8
1994,7,359.39
1994,8,357.42
1994,9,355.63
1994,10,356.09
1994,11,357.56
1994,12,358.87
1995,1,359.87
1995,2,360.79
1995,3,361.77
1995,4,363.23
1995,5,363.77
1995,6,363.22
1995,7,361.7
1995,8,359.11
1995,9,358.11
1995,10,357.97
1995,11,359.4
1995,12,360.61
1996,1,362.04
1996,2,363.17
1996,3,364.17
1996,4,364.51
1996,5,365.16
1996,6,364.93
1996,7,363.53
1996,8,361.38
1996,9,359.6
1996,10,359.54
1996,11,360.84
1996,12,362.18
1997,1,363.04
1997,2,364.09
1997,3,364.47
1997,4,366.25
1997,5,366.69
1997,6,365.59
1997,7,364.34
1997,8,362.2
1997,9,360.31
1997,10,360.71
1997,11,362.44
1997,12,364.33
1998,1,365.18
1998,2,365.98
1998,3,367.13
1998,4,368.61
1998,5,369.49
1998,6,368.95
1998,7,367.74
1998,8,365.79
1998,9,364.01
1998,10,364.35
1998,11,365.52
1998,12,367.08
1999,1,368.12
1999,2,368.98
1999,3,369.6
1999,4,370.96
1999,5,370.77
1999,6,370.33
1999,7,369.28
1999,8,366.86
1999,9,364.94
1999,10,365.35
1999,11,366.68
1999,12,368.04
2000,1,369.25
2000,2,369.5
2000,3,370.56
2000,4,371.82
2000,5,371.51
2000,6,371.71
2000,7,369.85
2000,8,368.2
2000,9,366.91
2000,10,366.99
2000,11,368.33
2000,12,369.67
2001,1,370.52
2001,2,371.49
2001,3,372.53
2001,4,373.37
2001,5,373.82
2001,6,373.18
2001,7,371.57
2001,8,369.63
2001,9,368.16
2001,10,368.42
2001,11,369.69
2001,12,371.18
2002,1,372.45
2002,2,373.14
2002,3,373.93
2002,4,375
2002,5,375.65
2002,6,375.5
2002,7,374
2002,8,371.83
2002,9,370.66
2002,10,370.51
2002,11,372.2
2002,12,373.71
2003,1,374.87
2003,2,375.62
2003,3,376.48
2003,4,377.74
2003,5,378.5
2003,6,378.18
2003,7,376.72
2003,8,374.32
2003,9,373.2
2003,10,373.1
2003,11,374.64
2003,12,375.93
2004,1,377
2004,2,377.87
2004,3,378.73
2004,4,380.41
2004,5,380.63
2004,6,379.56
2004,7,377.61
2004,8,376.15
2004,9,374.11
2004,10,374.44
2004,11,375.93
2004,12,377.45
2005,1,378.47
2005,2,379.76
2005,3,381.14
2005,4,382.2
2005,5,382.47
2005,6,382.2
2005,7,380.78
2005,8,378.73
2005,9,376.66
2005,10,376.98
2005,11,378.29
2005,12,379.92
2006,1,381.35
2006,2,382.16
2006,3,382.66
2006,4,384.73
2006,5,384.98
2006,6,384.09
2006,7,382.38
2006,8,380.45
2006,9,378.92
2006,10,379.16
2006,11,380.18
2006,12,381.79
2007,1,382.93
2007,2,383.81
2007,3,384.56
2007,4,386.4
2007,5,386.58
2007,6,386.05
2007,7,384.49
2007,8,382
2007,9,380.9
2007,10,381.14
2007,11,382.42
2007,12,383.89
2008,1,385.44
2008,2,385.73
2008,3,385.97
2008,4,387.16
2008,5,388.5
2008,6,387.88
2008,7,386.42
2008,8,384.15
2008,9,383.09
2008,10,382.99
2008,11,384.13
2008,12,385.56